acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
6.0546875,28.02734375,1012.8723611921606,0,2.9988194555044174,2.9988194555044174,0.0,0.0,0.0,0.010000000000000007,0.05,4.296875,21.6796875,3.04403593018651,0.05172413793103448
6.8359375,31.54296875,705.5114556166338,1,2.990292763337493,2.990292763337493,0.0,0.0,0.0,0.010000000000000007,0.05714285714285714,5.6640625,27.9296875,3.0052879713475704,0.0603448275862069
7.71484375,32.91015625,726.5516251795785,2,2.9712564013898373,2.9712564013898373,0.0,0.0,0.0,0.010000000000000007,0.05,5.2734375,33.7890625,3.0257951207458973,0.04741379310344827
8.69140625,34.1796875,813.2870192885013,3,2.969568921253085,2.969568921253085,0.0,0.0,0.0,0.010000000000000007,0.09781746031746032,11.328125,35.7421875,2.9475343972444534,0.09913793103448276
10.44921875,38.28125,813.0731972052643,4,2.8932218644768,2.8932218644768,0.0,0.0,0.0,0.010000000000000007,0.132521645021645,14.453125,48.4375,2.76345893740654,0.15086206896551724
14.94140625,48.14453125,738.8475247556794,5,2.7724569234997034,2.7724569234997034,0.0,0.0,0.0,0.010000000000000007,0.11348096348096345,12.6953125,51.5625,2.786749344319105,0.11206896551724138
16.6015625,52.1484375,810.5069642955194,6,2.6640109568834305,2.6640109568834305,0.0,0.0,0.0,0.010000000000000007,0.19341464091464092,17.96875,47.8515625,2.61118271201849,0.19827586206896552
19.23828125,58.49609375,813.6630285779321,7,2.5457269102334976,2.5457269102334976,0.0,0.0,0.0,0.009929687500000006,0.14703463203463202,13.28125,52.9296875,2.604414379224181,0.15086206896551724
24.12109375,66.796875,814.0752535119269,8,2.3035191874951124,2.3035191874951124,0.0,0.0,0.0,0.0010000000000000007,0.3130266955266955,24.8046875,62.5,2.327766824513674,0.3275862068965517
28.7109375,72.55859375,766.3753722129715,9,2.1363096656277776,2.1363096656277776,0.0,0.0,0.0,0.0009929687500000006,0.2973587523587523,25.5859375,65.0390625,2.27893821336329,0.3103448275862069
33.49609375,75.48828125,815.2473042704456,10,2.0304149659350514,2.0304149659350514,0.0,0.0,0.0,9.999999999999983e-05,0.3195448995448995,26.7578125,64.453125,2.254752654582262,0.33620689655172414
32.421875,75.09765625,816.8968492322774,11,2.018976696766913,2.018976696766913,0.0,0.0,0.0,9.999999999999983e-05,0.3180483405483405,26.953125,64.6484375,2.2742283903062344,0.33620689655172414
