acc1,acc5,clips/s,epoch,lambda_div_eff,lambda_pred_eff,lambda_reg_eff,lambda_sem_eff,loss,loss_cls,loss_div,loss_pred,loss_reg,loss_sem,lr,pred_h1,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sig_min,summary_std,summary_std_min,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
5.56640625,29.39453125,767.877227947366,0,0.005000000000000004,0.3125,0.024999999999999942,0.0,3.0309143979102373,3.005141533911228,0.7485976624302566,0.00811020463333989,0.7798170167952776,0.0,0.010000000000000007,0.00811020463333989,0.7492975718341768,0.9999746531248093,0.7707921066321433,0.009956725718438975,0.04561603094043676,0.1194258295581676,0.04672099475283176,0.08333333333333333,7.8125,25.1953125,3.007863987237215,0.08620689655172414
6.4453125,31.15234375,513.0876403753589,1,0.010000000000000007,0.5,0.049999999999999885,0.0,3.003067461773753,2.9777625612914562,0.5597345915157348,0.010579517582300468,0.28835605434142053,0.0,0.010000000000000007,0.010579517582300468,0.6291052866727114,0.9984226203523576,0.7973073702305555,0.17610299766238313,0.3401437242864631,0.5340364519506693,0.3396672575036064,0.0613095238095238,5.859375,28.515625,3.0080633871257305,0.05172413793103448
10.83984375,37.98828125,517.8490183445482,2,0.010000000000000007,0.5,0.049999999999999885,0.0,2.9481558073312044,2.9287416096776724,0.36920779780484736,0.009321546651335666,0.2212267384165898,0.0,0.010000000000000007,0.009321546651335666,0.47900741384364665,0.9998042639344931,0.8086155904456973,0.25266403518617153,0.4863966309931129,0.6368554406799376,0.48554954514838755,0.08234126984126985,8.984375,34.9609375,2.926831152290106,0.08620689655172414
13.8671875,48.2421875,535.8114183319532,3,0.010000000000000007,0.5,0.049999999999999885,0.0,2.7940412871539593,2.7752878284081817,0.338798301294446,0.0071333173182210885,0.23597649787552655,0.0,0.010000000000000007,0.0071333173182210885,0.44265870237722993,0.9999529360793531,0.815697347279638,0.28952947875950485,0.4754775722976774,0.6464473064988852,0.47465580818243325,0.18467643467643466,15.234375,52.734375,2.6611610278487206,0.19827586206896552
16.40625,54.00390625,541.5659431499056,4,0.010000000000000007,0.5,0.049999999999999885,0.0,2.6606006771326065,2.642540425993502,0.3370903190225363,0.005689295387128368,0.23689432174433023,0.0,0.010000000000000007,0.005689295387128368,0.4401957222726196,0.9999743164516985,0.8159193117171526,0.29519393667578697,0.5028273891657591,0.6435864116065204,0.5019448578823358,0.2308351370851371,19.7265625,49.4140625,2.686609398573637,0.2543103448275862
19.53125,60.15625,544.6084603918769,5,0.010000000000000007,0.5,0.049999999999999885,0.0,2.522550174035132,2.5050465567037463,0.33100669691339135,0.005155389004357858,0.23231743450742215,0.0,0.010000000000000007,0.005155389004357858,0.4338618197944015,0.9999890923500061,0.8120985510759056,0.2998704507481307,0.5195554769597948,0.6530870301648974,0.5186369454022497,0.23144702519702517,17.7734375,60.546875,2.5128549952059984,0.25
22.75390625,66.015625,539.1540439027103,6,0.010000000000000007,0.5,0.049999999999999885,0.0,2.3694537403061986,2.352454936131835,0.32845614291727543,0.004543429797195131,0.22885047108866274,0.0,0.010000000000000007,0.004543429797195131,0.43190676905214787,0.9999876767396927,0.8050914839841425,0.300044423667714,0.5289326808415353,0.6569936419837177,0.527993710944429,0.2921203796203796,22.8515625,60.546875,2.409998409450054,0.2974137931034483
26.66015625,67.67578125,543.3780088119476,7,0.010000000000000007,0.5,0.049999999999999885,0.0,2.2506979145109653,2.233868110924959,0.33167301560752094,0.0042084741180588026,0.2281769021647051,0.0,0.009929687500000006,0.0042084741180588026,0.4318253507371992,0.9999871081672609,0.8091861559078097,0.30211160017643124,0.5520050206687301,0.6601210618391633,0.5510174676310271,0.29752400377400373,25.1953125,65.625,2.342496664263308,0.2974137931034483
36.03515625,76.26953125,538.2146169715315,8,0.010000000000000007,0.5,0.049999999999999885,0.0,1.9598247674293816,1.9434416554868221,0.312051541171968,0.004309841560825589,0.22215334221255034,0.0,0.0010000000000000007,0.004309841560825589,0.4068722177762538,0.9999834629707038,0.8086125189438462,0.3240778031758964,0.5833495366387069,0.6926705026999116,0.5822951979935169,0.37032800532800536,29.296875,68.75,2.254481479525566,0.3793103448275862
39.84375,79.00390625,547.2570090179173,9,0.010000000000000007,0.5,0.049999999999999885,0.0,1.8515294608660042,1.8353154598735273,0.32184377149678767,0.004176242140601971,0.2181486925110221,0.0,0.0009929687500000006,0.004176242140601971,0.4217857364565134,0.9999748482368886,0.8064619367942214,0.30984312866348773,0.6018508379347622,0.6825093859806657,0.6007575271651149,0.3670700133200133,26.7578125,65.4296875,2.35538234654814,0.375
43.75,79.8828125,548.0542432984208,10,0.010000000000000007,0.5,0.049999999999999885,0.0,1.7888322859071195,1.7726070834323764,0.3222019935492426,0.004264061457433854,0.2174229562515393,0.0,9.999999999999983e-05,0.004264061457433854,0.42216168553568423,0.9999708198010921,0.8045727028511465,0.30845101247541606,0.6068129688501358,0.6815372128039598,0.6057092156261206,0.37242715617715616,29.296875,67.96875,2.2783512230962515,0.3793103448275862
43.75,80.76171875,535.7625803076888,11,0.010000000000000007,0.5,0.049999999999999885,0.0,1.7770001855678856,1.7607476613484323,0.32232084521092474,0.0043293360013194615,0.2172929778462276,0.0,9.999999999999983e-05,0.0043293360013194615,0.4219726847950369,0.9999721758067608,0.804308915976435,0.3087280625477433,0.607877335511148,0.6826628628186882,0.60677136387676,0.37503066378066374,29.8828125,67.1875,2.2614221647381783,0.3793103448275862
