acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,pred_h1,pred_h2,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sig_min,summary_std,summary_std_min,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
5.6640625,27.05078125,750.6579073237202,0,3.0240722447633743,3.009628439322114,0.008907218245440163,0.010618631273246137,0.17912689945660532,0.010000000000000007,0.009873352359136334,0.011363910271029454,0.06482007523300126,0.238836242351681,0.8010713206604123,0.30551801854744554,0.01000146301521454,0.34490487072616816,0.01000146301521454,0.05,3.3203125,25.1953125,3.0020228438079357,0.03879310344827586
6.25,32.12890625,568.0518720726586,1,2.991312388330698,2.9803354144096375,0.00517726267571561,0.005120853184052976,0.16626013978384435,0.010000000000000007,0.004546750762528973,0.005694955551007297,0.05190443302853964,0.18129387870430946,0.8027858291752636,0.3069663462229073,0.010001452967117075,0.34836188587360084,0.010001452967117075,0.05,5.2734375,35.3515625,3.0125553607940674,0.05172413793103448
8.203125,35.25390625,496.69910144854526,2,2.9636840652674437,2.9530629590153694,0.005830768779560458,0.005706178726541111,0.1530280616134405,0.010000000000000007,0.004770909088620101,0.006641448340815259,0.054759724327595904,0.19390170881524682,0.7957625649869442,0.2989352021832019,0.01000132691115141,0.3666179268620908,0.01000132691115141,0.0875,10.546875,38.0859375,2.9103056974709034,0.09482758620689655
11.42578125,44.04296875,491.74084766899085,3,2.849299930036068,2.8363175876438618,0.01064909312844975,0.010238890834443737,0.1529979988699779,0.010000000000000007,0.008019445776881184,0.01245833592111012,0.07342982097179629,0.2741213469998911,0.7951847799122334,0.28741420805454254,0.010001162445405498,0.38500999053940177,0.010001162445405498,0.11365079365079364,14.84375,48.2421875,2.747645750641823,0.1206896551724138
16.89453125,54.8828125,495.48987089960127,4,2.6367850890383124,2.6246893778443336,0.008344662059244001,0.009462952526519075,0.143946519237943,0.010000000000000007,0.007317851934203645,0.011608053053350886,0.06762459597666748,0.24660278053488582,0.7930665430612862,0.2796345865353942,0.010001444119552616,0.38887464883737266,0.010001444119552616,0.25142135642135643,20.703125,52.1484375,2.6274942755699158,0.27586206896551724
21.2890625,61.81640625,492.8226065175698,5,2.493557575158775,2.4819645369425416,0.005705499010218773,0.008911860761145363,0.14045975264161825,0.010000000000000007,0.006762548197002616,0.011061173336202046,0.05389252392342314,0.20885955425910652,0.7859600214287639,0.2789890426211059,0.010001188624300994,0.38675903039984405,0.010001188624300994,0.23403346653346654,22.265625,63.0859375,2.4500265922397375,0.25862068965517243
23.33984375,63.0859375,498.10098988630807,6,2.383621013723314,2.3722341060638428,0.0045186481347627705,0.008620548076578416,0.13972527760779485,0.010000000000000007,0.006557851631441736,0.01068324460356962,0.049279133789241314,0.19151962012983859,0.7772834785282612,0.2753368588164449,0.010001141592510976,0.38290171488188207,0.010001141592510976,0.20964923964923962,17.96875,55.859375,2.8000390771776438,0.22844827586206898
24.609375,67.48046875,496.66876491100874,7,2.324096922762692,2.313151585869491,0.004869596799835563,0.007448055243003182,0.14247833512490615,0.009929687500000006,0.005763437626228551,0.009132672850682866,0.05216520823887549,0.1954960091970861,0.7735405140556395,0.27586360136047006,0.01000134383502882,0.3706851766910404,0.01000134383502882,0.2820616883116883,22.4609375,57.2265625,2.473102470859885,0.2974137931034483
35.05859375,74.31640625,499.681904424926,8,2.002800307236612,1.9909199522808194,0.006279923632973805,0.010509491739867372,0.1300003045471385,0.0010000000000000007,0.00795634640053322,0.0130626369627862,0.05865964066470042,0.22973363811615855,0.7695468687452376,0.26274601253680885,0.010001404938520864,0.3945740573108196,0.010001404938520864,0.36428071928071926,29.4921875,65.625,2.3876106794923544,0.3793103448275862
37.40234375,77.63671875,494.3403358133708,9,1.8890417874790728,1.8769975095055997,0.0054919662688917015,0.011321208861772902,0.1254764041514136,0.0009929687500000006,0.008567836124711903,0.01407458160247188,0.05544580874266103,0.21601637813728303,0.7716812458820641,0.26664034579880536,0.010001231661590282,0.40172415785491467,0.010001231661590282,0.37088966588966576,28.515625,67.7734375,2.345792262814939,0.3706896551724138
41.2109375,78.125,506.47370460081385,10,1.7984058973379433,1.785964880604297,0.0050865092598542105,0.012295814161916496,0.12382757593877614,9.999999999999983e-05,0.009327693209343124,0.01526393510721391,0.05287263554055244,0.21318387251812965,0.7707282681949437,0.2667683104518801,0.010001239032135345,0.4086384237743914,0.010001239032135345,0.3887468087468088,30.46875,67.7734375,2.3109197691082954,0.40086206896551724
41.30859375,77.44140625,498.6934942457726,11,1.806965519208461,1.794742421247065,0.005104554769786773,0.011833367116196314,0.12408617709297687,9.999999999999983e-05,0.00896771870975499,0.014699015511723701,0.05322189864818938,0.20860415732022375,0.7713245511986315,0.2675546957179904,0.010001399750763085,0.40625542239286005,0.010001399750763085,0.377027972027972,30.2734375,68.359375,2.297046722844243,0.38362068965517243
