acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
7.8125,30.95703125,1046.4559629267383,0,2.9972698763012886,2.9972698763012886,0.0,0.0,0.0,0.010000000000000007,0.05416666666666666,5.46875,26.5625,3.0085645392537117,0.05603448275862069
7.91015625,32.6171875,692.9752054993082,1,2.9754704777151346,2.9754704777151346,0.0,0.0,0.0,0.010000000000000007,0.08055555555555556,6.8359375,31.640625,2.99150163680315,0.07327586206896551
9.765625,34.765625,690.692554512519,2,2.9513788241893053,2.9513788241893053,0.0,0.0,0.0,0.010000000000000007,0.07397186147186147,7.421875,34.765625,2.927182599902153,0.08189655172413793
12.6953125,46.09375,717.9025301914393,3,2.787658117711544,2.787658117711544,0.0,0.0,0.0,0.010000000000000007,0.17350177600177602,17.3828125,48.828125,2.793409049510956,0.1896551724137931
14.74609375,52.5390625,694.0347339052729,4,2.7182489447295666,2.7182489447295666,0.0,0.0,0.0,0.010000000000000007,0.15556471306471306,12.5,53.515625,2.5599810164421797,0.16379310344827586
18.5546875,59.9609375,693.6218548834912,5,2.52873947750777,2.52873947750777,0.0,0.0,0.0,0.010000000000000007,0.24352314352314353,20.3125,56.4453125,2.4678630139678717,0.25862068965517243
22.0703125,63.4765625,697.9985033979941,6,2.3809694051742554,2.3809694051742554,0.0,0.0,0.0,0.010000000000000007,0.3089479964479964,20.5078125,63.0859375,2.4550185408443213,0.3017241379310345
26.3671875,66.40625,690.3527821529594,7,2.290030099451542,2.290030099451542,0.0,0.0,0.0,0.009929687500000006,0.2713924963924964,20.5078125,60.7421875,2.3995743971318007,0.27586206896551724
35.546875,76.46484375,692.618806060628,8,1.974277519620955,1.974277519620955,0.0,0.0,0.0,0.0010000000000000007,0.3726875901875902,28.125,65.234375,2.322116846218705,0.3793103448275862
38.57421875,77.05078125,690.7685048122538,9,1.8650565538555384,1.8650565538555384,0.0,0.0,0.0,0.0009929687500000006,0.3730963480963481,28.90625,66.40625,2.3104466274380684,0.375
42.3828125,80.078125,691.3032708463677,10,1.783771577756852,1.783771577756852,0.0,0.0,0.0,9.999999999999983e-05,0.345771867021867,28.3203125,66.2109375,2.3095521153882146,0.35344827586206895
41.6015625,79.39453125,693.5271566159845,11,1.7888088868930936,1.7888088868930936,0.0,0.0,0.0,9.999999999999983e-05,0.36916833166833163,29.6875,65.625,2.278681823052466,0.3793103448275862
