acc1,acc5,clips/s,epoch,lambda_div_eff,lambda_pred_eff,lambda_reg_eff,lambda_sem_eff,loss,loss_cls,loss_div,loss_pred,loss_reg,loss_sem,lr,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
13.527730131503716,45.523156089193826,717.4222720386115,0,0.0,0.0,0.0,0.0,2.761878634283704,2.761878634283704,0.0,0.0,0.0,0.0,0.009999999999999827,0.2566666666666667,19.11137558266389,58.69284935001342,2.60763959913728,0.25925925925925924
30.154373927958833,68.70211549456832,667.998738990213,1,0.0,0.0,0.0,0.0,2.184446115870798,2.184446115870798,0.0,0.0,0.0,0.0,0.009999999999999827,0.6154761904761905,32.2324704948924,67.07329167906377,2.203384881421132,0.6195286195286195
40.35448827901658,77.88450543167524,674.6612789976651,2,0.0,0.0,0.0,0.0,1.8363106446357707,1.8363106446357707,0.0,0.0,0.0,0.0,0.009999999999999827,0.6204761904761905,33.9085589606268,71.78419121255433,2.2292287545921217,0.622895622895623
47.26129216695254,82.69868496283591,672.3094587603799,3,0.0,0.0,0.0,0.0,1.601819981596138,1.601819981596138,0.0,0.0,0.0,0.0,0.009999999999999827,0.65,39.52196766835267,75.2752157092319,2.0603509952302104,0.6531986531986532
53.9622641509434,87.47855917667239,672.6184750543023,4,0.0,0.0,0.0,0.0,1.3763980028616227,1.3763980028616227,0.0,0.0,0.0,0.0,0.009999999999999827,0.5973809523809523,39.06575423980958,71.93295646137062,2.6721713072061566,0.6026936026936027
59.908519153802175,90.76043453401944,892.4321107624688,5,0.0,0.0,0.0,0.0,1.1796871674820864,1.1796871674820864,0.0,0.0,0.0,0.0,0.009999999999999827,0.6840476190476192,45.25438857482892,79.25220668414016,2.0353896552086823,0.6868686868686869
64.76843910806176,92.38421955403088,862.7141714241872,6,0.0,0.0,0.0,0.0,1.0623048887889444,1.0623048887889444,0.0,0.0,0.0,0.0,0.009999999999999827,0.735,46.92055935733413,79.87702072795796,1.9942414711653231,0.7373737373737373
68.14179531160663,93.98513436249286,707.7903843876333,7,0.0,0.0,0.0,0.0,0.93033980440614,0.93033980440614,0.0,0.0,0.0,0.0,0.00999177330895778,0.7511904761904763,46.93047703980667,80.70018843522469,2.007980619834511,0.7542087542087542
82.12692967409949,97.02687249857061,708.893043890364,8,0.0,0.0,0.0,0.0,0.5304583208354521,0.5304583208354521,0.0,0.0,0.0,0.0,0.0009999999999999911,0.7828571428571428,53.208370524645446,83.99285926807498,2.122576029328107,0.7845117845117845
85.26014865637507,97.86163522012579,701.9145097395382,9,0.0,0.0,0.0,0.0,0.4396147613368513,0.4396147613368513,0.0,0.0,0.0,0.0,0.0009991773308957864,0.79,54.31915104631558,83.71516413690078,2.1890629578117813,0.7912457912457912
87.45568896512293,98.35334476843911,707.9338641224798,10,0.0,0.0,0.0,0.0,0.3831116668152656,0.3831116668152656,0.0,0.0,0.0,0.0,0.00010000000000000193,0.779047619047619,53.88277298423088,83.97302390161659,2.236798210999872,0.7811447811447811
87.58147512864494,98.37621497998856,704.2397486406659,11,0.0,0.0,0.0,0.0,0.37977948431730085,0.37977948431730085,0.0,0.0,0.0,0.0,0.00010000000000000193,0.7933333333333332,53.763760785480514,84.0722007331519,2.2562972473888676,0.7946127946127947
