acc1,acc5,clips/s,epoch,lambda_div_eff,lambda_pred_eff,lambda_reg_eff,lambda_sem_eff,loss,loss_cls,loss_div,loss_pred,loss_reg,loss_sem,lr,pred_h1,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sem_acc,summary_sem_agree,summary_sem_conf,summary_sig_min,summary_std,summary_std_min,task_target_delta_abs_mean,task_target_std,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
6.15234375,28.515625,718.9763686555301,0,0.005000000000000004,0.3125,0.024999999999999942,0.020000000000000014,3.016858773306012,3.0083854980766773,0.022180711315741064,0.008339381331097684,0.188074211939238,0.05272279426571913,0.010000000000000007,0.008339381331097684,0.11477137773181312,0.2863712764810771,0.8099047495052218,0.29698451957665384,0.0546875,0.1923828125,0.06587996907182969,0.5714222874958068,0.793974420055747,0.5703965940047055,0.049296048062387854,0.9980086646974087,0.08181818181818182,5.859375,21.6796875,3.0152854658663273,0.06896551724137931
6.640625,31.73828125,773.1364047671157,1,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.987124478444457,2.9763225708156824,0.031330373691162094,0.002744296869423124,0.16357476799748838,0.046885416959412396,0.010000000000000007,0.002744296869423124,0.149054947309196,0.3032843772089109,0.794233481399715,0.28126195492222905,0.060546875,0.111328125,0.06263073920854367,0.6511065126396716,0.7709459671750665,0.649910663254559,0.04439236252801493,0.9943810147233307,0.05,3.3203125,34.765625,3.02038599178195,0.03879310344827586
8.10546875,33.3984375,769.2479046024853,2,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.976695381104946,2.9661907367408276,0.030723955991561525,0.0022704448720105574,0.16202036256436259,0.04805796386790462,0.010000000000000007,0.0022704448720105574,0.14798460702877492,0.29312534583732486,0.7912986353039742,0.27702529123052955,0.064453125,0.271484375,0.06443151956773363,0.6574746556580067,0.7685888577252626,0.6562655935995281,0.047224835492670536,0.9898687661625445,0.05801282051282051,4.1015625,31.25,3.014977764338255,0.04741379310344827
11.328125,45.21484375,664.3565605409402,3,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.8495197370648384,2.833566352725029,0.025575269595719874,0.006953999265533639,0.17288371990434825,0.17882248319801874,0.010000000000000007,0.006953999265533639,0.12723406497389078,0.33091435802634805,0.7887810794636607,0.26793026470113546,0.06640625,0.1591796875,0.06824979186058044,0.5005909923929721,0.7723463703878224,0.4997154625598341,0.07576171497930773,0.985067673958838,0.12704517704517707,11.5234375,44.7265625,2.889624260365963,0.12931034482758622
16.796875,52.05078125,736.0139739368539,4,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.6740339593961835,2.654371354728937,0.02517807583353715,0.006621652391913813,0.1649752362864092,0.39256186492275447,0.010000000000000007,0.006621652391913813,0.12896171369357035,0.32103887386620045,0.7889629201963544,0.267063953448087,0.0693359375,0.0966796875,0.06847081746673211,0.5358524729963392,0.7714421963319182,0.5348992915824056,0.0754982513608411,0.9801192483864725,0.26597846597846597,20.8984375,55.859375,2.580606458708644,0.29310344827586204
19.921875,60.7421875,743.3835508765134,5,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.531808906234801,2.5073771784082055,0.02371132088592276,0.005384441439673537,0.15878673957195133,0.6781507496489212,0.010000000000000007,0.005384441439673537,0.12754109263187274,0.3013779284665361,0.790126274805516,0.26835104543715715,0.0673828125,0.0927734375,0.06968448887346312,0.6056628599762917,0.7713390807621181,0.6045618986245245,0.07047386188060045,0.9749624682590365,0.23627095127095124,21.09375,56.8359375,2.56630383618176,0.2543103448275862
22.4609375,63.18359375,704.0181062183192,6,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.4201207170262933,2.392199819907546,0.02101031628990313,0.004934851353027625,0.157324509578757,0.8688577101565897,0.010000000000000007,0.004934851353027625,0.1205942421220243,0.265340170590207,0.7896394641138613,0.26856319862417877,0.0751953125,0.1767578125,0.07155864156084135,0.638420048635453,0.7727968427352607,0.6372506031766534,0.0712309880182147,0.9701077467761934,0.3075,25.78125,61.9140625,2.4129728097468615,0.31896551724137934
24.12109375,66.11328125,737.217424522963,7,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.3487264774739742,2.3169550634920597,0.01920891786721768,0.005902396041165048,0.15424507146235555,1.0457941577769816,0.009929687500000006,0.005902396041165048,0.11507015844108537,0.26895562873687595,0.7834359793923795,0.2678170439321548,0.0693359375,0.0556640625,0.07508032547775656,0.6495161363855004,0.7736603380180895,0.6483235214836895,0.07803614166914485,0.9648022800683975,0.34339188589188585,26.171875,59.765625,2.443735470995307,0.35344827586206895
34.5703125,75.1953125,656.3498811374793,8,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,2.0332185234874487,1.992344138212502,0.0205953425320331,0.005313871726684738,0.15261711133643985,1.5190315918298438,0.0010000000000000007,0.005313871726684738,0.12013941357145086,0.2716313520213589,0.7833365593105555,0.26592356339097023,0.0869140625,0.064453125,0.07735187315847725,0.6705706990323961,0.7694572345353663,0.6693344721570611,0.0768287010723725,0.9619603808969259,0.3697938172938173,28.7109375,66.2109375,2.3102070204913616,0.38362068965517243
40.234375,77.63671875,707.8870307720825,9,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,1.9007409466430545,1.8535631131380796,0.01975098272669129,0.006405730973710888,0.1491382693639025,1.816027503926307,0.0009929687500000006,0.006405730973710888,0.11734774132492021,0.26962307177018374,0.7825772338546813,0.2644319061655551,0.0849609375,0.0556640625,0.07747341768117622,0.6926316805183887,0.7727642036043108,0.6913498896174133,0.08439881497179158,0.9615266895852983,0.36452977577977574,28.7109375,65.4296875,2.3650699332356453,0.375
42.96875,78.90625,747.7301615092726,10,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,1.823410359211266,1.771080722566694,0.018783100953442045,0.008176421957614366,0.1464907891349867,2.0364523623138666,9.999999999999983e-05,0.008176421957614366,0.11329585820203647,0.27652884856797755,0.7814433579333127,0.26297030528075993,0.08203125,0.0908203125,0.07729010540060699,0.6971038682386279,0.7769706058315933,0.6958128744736314,0.09343121340498328,0.9612622573040426,0.37377886002886,30.078125,66.40625,2.3230673717334867,0.38362068965517243
43.26171875,78.22265625,798.2494315862632,11,0.010000000000000007,0.5,0.049999999999999885,0.020000000000000014,1.824128997977823,1.772016596980393,0.01893807007581927,0.00797485113798757,0.14626152266282588,2.0311264167539775,9.999999999999983e-05,0.00797485113798757,0.11396972881630063,0.2753172052325681,0.7815473712980747,0.2627968257293105,0.0869140625,0.0810546875,0.07725821249186993,0.6988515174016356,0.7764817127026618,0.6975569245405495,0.092430982273072,0.9612025925889611,0.3791403041403041,29.6875,66.015625,2.335134436376393,0.3879310344827586
