acc1,acc5,clips/s,epoch,lambda_div_eff,lambda_pred_eff,lambda_reg_eff,lambda_sem_eff,loss,loss_cls,loss_div,loss_pred,loss_reg,loss_sem,lr,pred_h1,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sig_min,summary_std,summary_std_min,task_target_delta_abs_mean,task_target_std,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
14.271012006861064,45.511720983419096,817.46855977088,0,0.004999999999999913,0.3125,0.024999999999999557,0.0,2.747196478425258,2.7407674554061194,0.02850021072918757,0.006834109957581914,0.16603467413232792,0.0,0.009999999999999827,0.006834109957581914,0.13802139023131602,0.32179409046223223,0.7914026264625668,0.2712414152034894,0.5884566563139014,0.7712932858868099,0.5873849749074775,0.07032991080141372,0.9862517085764047,0.2673809523809524,18.585738371516413,51.33392839432709,2.569081083471864,0.26936026936026936
30.165809033733563,69.34248141795311,815.0603143657615,1,0.009999999999999827,0.5,0.049999999999999115,0.0,2.1753122711203434,2.165237894823172,0.016808122128309507,0.004036616099352644,0.1577595891448,0.0,0.009999999999999827,0.004036616099352644,0.10820735666825959,0.25243177722587884,0.7681392424721168,0.27327201045518384,0.6822677231249034,0.7645631193351919,0.6809981937164362,0.0633749744669284,0.9516655171266204,0.4666666666666667,30.37786373103243,66.44847763562431,2.3689569129806505,0.4713804713804714
40.18296169239566,76.8210405946255,825.4498097284904,2,0.009999999999999827,0.5,0.049999999999999115,0.0,1.8613645023031251,1.8520949536038926,0.007576771726205237,0.0024761050110925467,0.15911457654926414,0.0,0.009999999999999827,0.0024761050110925467,0.07252399693881681,0.18138840253817315,0.7448931433383028,0.27297152913902534,0.7100703681953646,0.7571925076858653,0.7087435763213491,0.04978589499045769,0.9181603958772349,0.6504761904761904,37.36983040761678,72.18089854210056,2.1529154820830403,0.6531986531986532
46.72384219554031,82.05831903945112,864.6758852899762,3,0.009999999999999827,0.5,0.049999999999999115,0.0,1.6303650010956052,1.6214829392363428,0.0032421190233541896,0.0017123675357249874,0.15986918065513073,0.0,0.009999999999999827,0.0017123675357249874,0.04636992148074306,0.13493493006614052,0.7288698555673498,0.27014967071835694,0.7152001628928036,0.7506912262936615,0.7138636461995419,0.04205139726570636,0.8935636165373069,0.6797619047619048,41.48566894773381,73.04373698304076,2.0098834407035207,0.6835016835016835
52.94453973699257,85.70611778158948,743.8315526726748,4,0.009999999999999827,0.5,0.049999999999999115,0.0,1.4414547668085511,1.4326502506398142,0.0012274158765403112,0.001576968314746732,0.16007522410513933,0.0,0.009999999999999827,0.001576968314746732,0.02673518172272871,0.1060668364902737,0.7161745758662494,0.2669958183490816,0.7142610551561255,0.7457281495470015,0.7129256731849266,0.04040125981518076,0.8749492727424371,0.5385714285714286,37.181394426262024,73.38093821283348,2.5476914504850026,0.5420875420875421
59.21097770154374,89.54831332189823,630.5009733712452,5,0.009999999999999827,0.5,0.049999999999999115,0.0,1.22730637464325,1.2186559102407757,0.00045314049853162645,0.0012607748407493405,0.16031089228947376,0.0,0.009999999999999827,0.0012607748407493405,0.014371160042797381,0.08655470403650234,0.7069443166255951,0.2643292616691842,0.7141805791876652,0.7416360363554911,0.7128455899860131,0.03599368354520153,0.8606668837109693,0.6604761904761904,42.58653178579642,76.18764256593975,2.02794974267119,0.6632996632996633
64.23098913664951,92.3156089193825,525.7111119703021,6,0.009999999999999827,0.5,0.049999999999999115,0.0,1.077380190424662,1.0688868279703356,0.0002809493007107299,0.0009133166455730994,0.16067788604190625,0.0,0.009999999999999827,0.0009133166455730994,0.0107198162940782,0.07601519567139406,0.7011393536379394,0.2629556845757817,0.7160789571035061,0.7388915671291038,0.7147397870773371,0.03084338418594553,0.8504168797672558,0.6604761904761905,46.047803233164736,78.24060299438368,2.059730604908625,0.6666666666666666
67.9702687249857,93.34476843910807,521.2566640714552,7,0.009999999999999827,0.5,0.049999999999999115,0.0,0.9617528942306365,0.9533608848913496,0.00040260470372301626,0.0006791378130499526,0.16096825622553362,0.0,0.00999177330895778,0.0006791378130499526,0.014289590227034563,0.07304851663123536,0.6970595626443135,0.2616948081108944,0.716768181847044,0.7366325618797944,0.7154279237909335,0.026631608877800937,0.8430773898060187,0.7697619047619048,49.16195576675447,80.34315183897358,2.035484839367516,0.7710437710437711
82.03544882790166,97.33562035448828,523.1451124748799,8,0.009999999999999827,0.5,0.049999999999999115,0.0,0.5506021978982283,0.5421044102178671,0.0006183922412165507,0.0009200313632181544,0.16063177355410194,0.0,0.0009999999999999911,0.0009200313632181544,0.018169743995568706,0.09048486111082912,0.6946768686583971,0.2606601733067354,0.7173583182273007,0.7361403276541115,0.7160169369995703,0.0300355968380541,0.8398774028151301,0.7654761904761904,53.04968759259995,83.87384706932461,2.1647509581320024,0.7676767676767676
84.43682104059462,97.85020011435105,521.4960035404398,9,0.009999999999999827,0.5,0.049999999999999115,0.0,0.47022937600104175,0.4616707073178966,0.0006863495166691436,0.0010702542666572706,0.1603335490010992,0.0,0.0009991773308957864,0.0010702542666572706,0.01904801332172163,0.0964274007207297,0.6936877967016788,0.2601059236081906,0.7156821965517466,0.735911797125989,0.7143444080021525,0.03288694691607623,0.8392366135469085,0.7654761904761904,52.62322721336612,82.76306654765447,2.3089952692274114,0.7676767676767676
85.98056032018296,98.04459691252144,541.9545900505775,10,0.009999999999999827,0.5,0.049999999999999115,0.0,0.42834414231337237,0.4197505325273912,0.000729564803042083,0.0011532335450148748,0.1601939533566426,0.0,0.00010000000000000193,0.0011532335450148748,0.019591045955798744,0.10014679861106864,0.693260867591314,0.259890740788397,0.7158652417075699,0.7358415819282288,0.7145267083723322,0.034202935878984236,0.8388871529311541,0.7864285714285715,53.81334920124817,83.55648120599028,2.2414692621548724,0.7878787878787878
