acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
13.459119496855346,45.42024013722127,765.886083983221,0,2.759459306814553,2.759459306814553,0.0,0.0,0.0,0.009999999999999827,0.21000000000000002,16.27491817911336,55.439849251214916,2.8383481959671277,0.21212121212121213
30.085763293310464,68.55345911949685,678.0517240932533,1,2.1797229903707556,2.1797229903707556,0.0,0.0,0.0,0.009999999999999827,0.5052380952380953,26.77774471883368,65.62530992760091,2.351180823252468,0.5084175084175084
40.320182961692396,77.1412235563179,678.0349359660104,2,1.8352904709863052,1.8352904709863052,0.0,0.0,0.0,0.009999999999999827,0.5976190476190475,35.76316572448676,72.05196866012099,2.1221662826044376,0.6026936026936027
48.43910806174957,83.95654659805604,677.456056390311,3,1.5524053139257938,1.5524053139257938,0.0,0.0,0.0,0.009999999999999827,0.6428571428571429,42.854309232984754,76.27690171500254,2.0116578779008565,0.6464646464646465
55.84905660377358,87.6843910806175,678.6178302709602,4,1.3302146010168945,1.3302146010168945,0.0,0.0,0.0,0.009999999999999827,0.5114285714285713,35.1681047307349,71.37756620053555,3.2007888988387703,0.5151515151515151
61.45225843339051,91.1034877072613,785.1541219997034,5,1.1436981194647509,1.1436981194647509,0.0,0.0,0.0,0.009999999999999827,0.6692857142857143,46.890806307646535,80.5117524546266,2.0842955444590845,0.6734006734006734
66.25500285877645,93.04745568896513,680.3942589671409,6,1.0105497153063852,1.0105497153063852,0.0,0.0,0.0,0.009999999999999827,0.7597619047619047,48.13051671129624,80.82911831720426,1.943948246176751,0.7609427609427609
69.10234419668382,94.19096626643797,681.791297191422,7,0.9102993666737509,0.9102993666737509,0.0,0.0,0.0,0.00999177330895778,0.6866666666666668,47.8825746305663,81.26549637928896,2.222583962213509,0.6902356902356902
83.46483704974271,97.1412235563179,681.268712393271,8,0.502100157508264,0.502100157508264,0.0,0.0,0.0,0.0009999999999999911,0.7383333333333333,51.185163145132464,82.6539720321333,2.2747214170984007,0.7407407407407407
85.83190394511149,98.10177244139508,683.5044351368379,9,0.4238424491021489,0.4238424491021489,0.0,0.0,0.0,0.0009991773308957864,0.7657142857142858,52.90092234454031,82.94158484502337,2.324328582303102,0.7676767676767676
87.54716981132076,98.52487135506003,679.1982771235267,10,0.3668200798567916,0.3668200798567916,0.0,0.0,0.0,0.00010000000000000193,0.7483333333333333,52.375285133392836,82.92174947932163,2.4217034284185153,0.7508417508417509
87.89022298456261,98.41052029731274,689.2602326115228,11,0.36433716355220686,0.36433716355220686,0.0,0.0,0.0,0.00010000000000000193,0.751904761904762,52.03808390360012,83.21927997619756,2.417754044055772,0.7542087542087542
