acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,pred_h1,pred_h2,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sig_min,summary_std,summary_std_min,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
5.46875,26.953125,784.8657015758262,0,3.02424150519073,3.0096713956445456,0.021246257001621416,0.010408008536614943,0.1788237466244027,0.010000000000000007,0.009809973398660077,0.011006043587258318,0.11841159750474617,0.2679894365137443,0.82176612643525,0.29771320591680706,0.621553944889456,0.7904149596579373,0.6204233318567276,0.05,3.3203125,25.0,3.001910697668791,0.03879310344827586
6.15234375,31.640625,500.6800879368956,1,2.9914540089666843,2.980825811624527,0.020152514553046785,0.0038750398070988012,0.16575277864467353,0.010000000000000007,0.0035375241313886363,0.00421255547189503,0.12046046979958192,0.23251203366089612,0.8165765730664134,0.29516280093230307,0.6978499013930559,0.7858973243273795,0.6965574035421014,0.05,5.2734375,34.1796875,3.0126280300319195,0.05172413793103448
7.71484375,34.66796875,512.2319913926162,2,2.9708053655922413,2.9605777859687805,0.018218688710476272,0.0031366873263323214,0.16589682584162802,0.010000000000000007,0.002779264312266605,0.003494110336760059,0.11393422831315547,0.2255948301171884,0.8075252599082887,0.2938710192684084,0.6795733021572232,0.784740305505693,0.6783186257816851,0.059126984126984125,8.203125,36.71875,2.931548524647951,0.0603448275862069
9.47265625,45.60546875,505.1902920190098,3,2.8653047680854797,2.853111946955323,0.017200644986587577,0.006703300346998731,0.16994320950470865,0.010000000000000007,0.005260532354441239,0.008146068377755,0.10422261094208807,0.27908249222673476,0.8025518599897623,0.2857261849567294,0.5692060359288007,0.7833226686343551,0.56818195595406,0.16146214896214897,17.3828125,50.1953125,2.7087236307561398,0.1724137931034483
16.30859375,56.15234375,511.5055762713369,4,2.641742607578635,2.6291624046862125,0.015224353548546787,0.007931057749374304,0.16620344074908644,0.010000000000000007,0.006140252593468176,0.00972186290891841,0.098723151080776,0.2591599168954417,0.795952346175909,0.28245652676559985,0.6029969546943903,0.7827592785470188,0.6019015954807401,0.2106254856254856,17.96875,51.3671875,2.6704408563673496,0.22413793103448276
18.26171875,57.32421875,516.4827001206975,5,2.5791573552414775,2.567769629880786,0.01457962815038627,0.005730995420890395,0.16461279650684446,0.010000000000000007,0.004411457955939113,0.007050532880384708,0.09831465332536027,0.24299879628233612,0.7955273510888219,0.28310409164987504,0.6232614652253687,0.777515250723809,0.6221234500408173,0.17304362304362303,15.8203125,54.8828125,2.5897847935557365,0.1939655172413793
22.36328125,64.0625,513.839021646356,6,2.383573278784752,2.3716535717248917,0.013346931104024407,0.0072225850708491635,0.1608294586185366,0.010000000000000007,0.005556796737437253,0.008888373376976233,0.09396284527610987,0.2459993214579299,0.7879835870116949,0.2804744332097471,0.6395360277965665,0.777027690783143,0.6383642177097499,0.23791347541347538,18.9453125,56.8359375,2.625496307387948,0.25
25.09765625,65.72265625,512.9706717949828,7,2.3086274983361363,2.297541093081236,0.012031570047838613,0.005590870778178214,0.161006806534715,0.009929687500000006,0.004342408692536992,0.006839332903837203,0.08968675252981484,0.23094362020492554,0.7860842798836529,0.2819720427505672,0.658753793220967,0.7743339403532445,0.6575421611778438,0.27384976134976136,21.6796875,55.46875,2.437470419332385,0.28879310344827586
34.08203125,75.78125,514.1814367539301,8,2.0357843935489655,2.0252350089140236,0.009008788394567091,0.004782179832545808,0.15956224722322077,0.0010000000000000007,0.0037310386296667275,0.005833321067257202,0.0778134404681623,0.19960586971137673,0.7859821226447821,0.2865328236948699,0.706626683473587,0.7792999376542866,0.7053161072544754,0.3287770562770563,26.171875,64.84375,2.316017652861774,0.3448275862068966
37.890625,77.734375,517.0377429964947,9,1.9112444468773901,1.8999220584519207,0.010058526335342322,0.006568490527570248,0.1567397384205833,0.0009929687500000006,0.005058480310253799,0.008078500679403078,0.08132078987546265,0.2237877791048959,0.783812487963587,0.28328027739189565,0.7202416798099875,0.7780495551414788,0.7189031401649117,0.36071595071595075,27.5390625,67.7734375,2.2787151942029595,0.36637931034482757
41.015625,78.61328125,516.9215711221292,10,1.8317013229243457,1.8200489273294806,0.01062144165916834,0.007319544816709822,0.15560397459194064,9.999999999999983e-05,0.005647550757203135,0.008991538896225393,0.08367402973817661,0.23522405931726098,0.7824904788285494,0.28067946690134704,0.7158988327719271,0.7768482686951756,0.7145692082121968,0.3428191253191253,26.953125,66.796875,2.272932385094464,0.3620689655172414
41.69921875,77.83203125,518.1102000296032,11,1.836242800578475,1.8246097592636943,0.010439962279633619,0.007284798623004463,0.1556368642486632,9.999999999999983e-05,0.005586453537034686,0.008983143721707165,0.08302788832224905,0.2293593781068921,0.7831097915768623,0.2810422589536756,0.7177932066842914,0.7771383812651038,0.7164597068913281,0.38172605172605173,30.2734375,67.7734375,2.252003683708608,0.3922413793103448
