acc1,acc5,clips/s,epoch,lambda_div_eff,lambda_pred_eff,lambda_reg_eff,lambda_sem_eff,loss,loss_cls,loss_div,loss_pred,loss_reg,loss_sem,lr,pred_h1,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sig_min,summary_std,summary_std_min,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
6.0546875,28.41796875,807.1598271341021,0,0.005000000000000004,0.3125,0.024999999999999942,0.0,3.012464316561818,3.0050207190215588,0.02196303890013951,0.00848437497006671,0.18729689775500447,0.0,0.010000000000000007,0.00848437497006671,0.11460010561859235,0.27981247508432716,0.8112920355051756,0.29303107992745936,0.5620691434014589,0.7911775480024517,0.5610626619309187,0.05,3.3203125,24.8046875,3.0449953712522984,0.03879310344827586
8.0078125,33.30078125,528.3688658292372,1,0.010000000000000007,0.5,0.049999999999999885,0.0,2.9839717969298363,2.9741547107696533,0.03376856792601757,0.002721587039559381,0.16237211297266185,0.0,0.010000000000000007,0.002721587039559381,0.1555413225432858,0.30778321460820735,0.7945978129282594,0.2771981582045555,0.6720787417143583,0.7674026433378458,0.670839462429285,0.058333333333333334,8.984375,30.6640625,3.0009237974882126,0.06896551724137931
8.69140625,35.546875,570.8426654136384,2,0.010000000000000007,0.5,0.049999999999999885,0.0,2.945299768820405,2.935081435367465,0.03163997572846711,0.0035284284749650396,0.16275409038644284,0.0,0.010000000000000007,0.0035284284749650396,0.1491162971360609,0.3081194325350225,0.7932750810869038,0.273257817607373,0.6168992198072374,0.7677749693393707,0.6157748878467828,0.09343434343434344,7.6171875,33.984375,3.031358990818262,0.08189655172413793
12.890625,44.140625,632.5653919038501,3,0.010000000000000007,0.5,0.049999999999999885,0.0,2.8486258052289486,2.8365959748625755,0.02680214843712747,0.006576374913493055,0.16947218112181872,0.0,0.010000000000000007,0.006576374913493055,0.13075868639862165,0.34274005331099033,0.7858267184346914,0.27066513150930405,0.5480406058486551,0.7720716940239072,0.5470617476385087,0.08052364302364302,8.7890625,41.2109375,2.917068224400282,0.08189655172413793
18.06640625,54.6875,539.8690156404614,4,0.010000000000000007,0.5,0.049999999999999885,0.0,2.632379475980997,2.6204106323421,0.024525854700186756,0.0073611670231912285,0.16085996886249632,0.0,0.010000000000000007,0.0073611670231912285,0.1268192381830886,0.31990507361479104,0.7856358787976205,0.26802033884450793,0.5845880997367203,0.7755003375932574,0.5835314504802227,0.25724414474414475,19.921875,53.515625,2.6085027642548084,0.2672413793103448
18.06640625,59.1796875,959.7223497118366,5,0.010000000000000007,0.5,0.049999999999999885,0.0,2.5371040496975183,2.5252958927303553,0.02412975962215569,0.007241980607432197,0.15891724661923945,0.0,0.010000000000000007,0.007241980607432197,0.12808443867834285,0.3048047695774585,0.7773452191613615,0.2679281593300402,0.5944427268113941,0.7709167269058526,0.5933655251283199,0.2590451215451215,19.921875,48.828125,2.7023053616285324,0.2672413793103448
24.4140625,65.234375,763.3552019284497,6,0.010000000000000007,0.5,0.049999999999999885,0.0,2.347753394395113,2.336660544387996,0.022934612657991238,0.006030944814483519,0.1569604113465175,0.0,0.010000000000000007,0.006030944814483519,0.12534816446714103,0.2961140708066523,0.778327633626759,0.2686269427649677,0.6256505055353045,0.7693609497509897,0.624507746193558,0.2889582639582639,23.2421875,65.234375,2.4060192219913006,0.2974137931034483
27.44140625,69.43359375,527.6379601097547,7,0.010000000000000007,0.5,0.049999999999999885,0.0,2.2605341896414757,2.249634242616594,0.02115394095017109,0.005787690479337471,0.15589101368095726,0.0,0.009929687500000006,0.005787690479337471,0.12139293970540166,0.27732329920399934,0.7719335844740272,0.2702449334319681,0.6528942156583071,0.7680111634545028,0.6516946568153799,0.36733474858474857,27.34375,61.9140625,2.37150795198977,0.36637931034482757
36.03515625,76.953125,890.9384088900429,8,0.010000000000000007,0.5,0.049999999999999885,0.0,1.9122948832809925,1.901348439976573,0.017039902151736896,0.006224542355994345,0.15327558876015246,0.0,0.0010000000000000007,0.006224542355994345,0.10902164207072929,0.2623759814305231,0.7724894843995571,0.27332626678980887,0.7005514530465007,0.7747736354358494,0.6992533854208887,0.3977104839604839,31.0546875,67.3828125,2.3072870299220085,0.40948275862068967
39.94140625,78.7109375,533.0318493140312,9,0.010000000000000007,0.5,0.049999999999999885,0.0,1.8411656864918768,1.8298952896147966,0.017602583131520078,0.007078795295456075,0.15109947207383811,0.0,0.0009929687500000006,0.007078795295456075,0.11053864849964157,0.2734009522246197,0.7712429822422564,0.2715829201042652,0.7059350404888391,0.7747611403465271,0.7046258985064924,0.35588023088023085,28.7109375,66.6015625,2.301806168630719,0.3577586206896552
43.06640625,80.859375,875.6959300784853,10,0.010000000000000007,0.5,0.049999999999999885,0.0,1.731336948927492,1.7193673462606966,0.016628865669190418,0.0086115072517714,0.1499511677538976,0.0,9.999999999999983e-05,0.0086115072517714,0.10659586609108374,0.27709068544209003,0.7711045970208943,0.2715986231341958,0.7000655299052596,0.7780044763348997,0.6987684681080282,0.3861921411921412,31.25,68.75,2.262769490480423,0.3922413793103448
45.703125,80.078125,823.6860007494884,11,0.010000000000000007,0.5,0.049999999999999885,0.0,1.7103849221020937,1.6982670724391937,0.01684540022688452,0.008987740053271409,0.14911030291114002,0.0,9.999999999999983e-05,0.008987740053271409,0.10731033503543586,0.27933024521917105,0.7711065914481878,0.27055734093301,0.7029432486742735,0.7779915905557573,0.7016402557492256,0.41402944277944276,32.2265625,69.7265625,2.280674058943987,0.41810344827586204
