acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
6.0546875,28.02734375,962.2436625140178,0,2.998819351196289,2.998819351196289,0.0,0.0,0.0,0.010000000000000007,0.05,4.296875,21.875,3.0440375842154026,0.05172413793103448
6.8359375,31.54296875,1080.562645211575,1,2.9902921244502068,2.9902921244502068,0.0,0.0,0.0,0.010000000000000007,0.05714285714285714,5.6640625,27.9296875,3.005299400538206,0.0603448275862069
7.71484375,32.91015625,910.5761963688109,2,2.9712558276951313,2.9712558276951313,0.0,0.0,0.0,0.010000000000000007,0.05,5.2734375,33.7890625,3.025786578655243,0.04741379310344827
8.59375,34.08203125,671.5900824314266,3,2.9695707466453314,2.9695707466453314,0.0,0.0,0.0,0.010000000000000007,0.10138888888888889,11.328125,36.328125,2.9472815804183483,0.10344827586206896
10.546875,38.671875,771.6457030717803,4,2.893116367980838,2.893116367980838,0.0,0.0,0.0,0.010000000000000007,0.1360930735930736,14.6484375,48.6328125,2.7632722817361355,0.15517241379310345
14.94140625,48.6328125,981.3708021568157,5,2.7674616165459156,2.7674616165459156,0.0,0.0,0.0,0.010000000000000007,0.11732711732711734,11.328125,52.1484375,2.811790693551302,0.11637931034482758
16.69921875,53.22265625,961.8340465082056,6,2.6654709801077843,2.6654709801077843,0.0,0.0,0.0,0.010000000000000007,0.15342157842157841,15.234375,46.2890625,2.6815981306135654,0.15517241379310345
19.53125,58.69140625,1011.0995183254989,7,2.547876626253128,2.547876626253128,0.0,0.0,0.0,0.009929687500000006,0.18505328005328006,16.796875,57.421875,2.5584509801119566,0.2025862068965517
23.73046875,69.23828125,957.1920424564703,8,2.2456091763451695,2.2456091763451695,0.0,0.0,0.0,0.0010000000000000007,0.31396284271284275,24.8046875,62.890625,2.3312617763876915,0.33189655172413796
27.05078125,73.4375,958.3205840757973,9,2.1123780915513635,2.1123780915513635,0.0,0.0,0.0,0.0009929687500000006,0.30583152958152954,24.609375,64.0625,2.281047249212861,0.31896551724137934
32.8125,76.66015625,1022.6080702532627,10,2.0268018692731857,2.0268018692731857,0.0,0.0,0.0,9.999999999999983e-05,0.32192460317460314,26.5625,65.0390625,2.2834579311311245,0.33620689655172414
31.93359375,76.46484375,912.3786309160323,11,2.012482269667089,2.012482269667089,0.0,0.0,0.0,9.999999999999983e-05,0.31799478299478307,26.7578125,64.84375,2.302232626825571,0.33620689655172414
